 # Algoritmo 	 n 	 total 	 trocas 	 comparações
1 	 250 	 5161 	2422 	 2739
2 	 250 	 740 	500 	 240
3 	 250 	 5195 	3988 	 1207
4 	 250 	 30645 	495 	 30150
5 	 250 	 30164 	253 	 29911
6 	 250 	 31708 	326 	 31382
1 	 500 	 42117 	5246 	 36871
2 	 500 	 1490 	1000 	 490
3 	 500 	 11685 	8976 	 2709
4 	 500 	 125765 	1009 	 124756
5 	 500 	 121805 	503 	 121302
6 	 500 	 125719 	579 	 125140
1 	 1000 	 163041 	15923 	 147118
2 	 1000 	 2979 	2000 	 979
3 	 1000 	 25872 	19952 	 5920
4 	 1000 	 492629 	2011 	 490618
5 	 1000 	 501421 	1007 	 500414
6 	 1000 	 501499 	1179 	 500320
1 	 2000 	 609234 	42947 	 566287
2 	 2000 	 5968 	4000 	 1968
3 	 2000 	 56783 	43904 	 12879
4 	 2000 	 1965377 	4012 	 1961365
5 	 2000 	 1963305 	2004 	 1961301
6 	 2000 	 2002867 	2309 	 2000558
1 	 4000 	 2284514 	108000 	 2176514
2 	 4000 	 11957 	8000 	 3957
3 	 4000 	 123686 	95808 	 27878
4 	 4000 	 7890755 	8013 	 7882742
5 	 4000 	 7997606 	4014 	 7993592
6 	 4000 	 8005301 	4461 	 8000840
1 	 8000 	 8700862 	260077 	 8440785
2 	 8000 	 23946 	16000 	 7946
3 	 8000 	 267557 	207616 	 59941
4 	 8000 	 31701266 	16014 	 31685252
5 	 8000 	 31716995 	7997 	 31708998
6 	 8000 	 32009801 	8635 	 32001166
1 	 16000 	 33665275 	608175 	 33057100
2 	 16000 	 47935 	32000 	 15935
3 	 16000 	 575447 	447232 	 128215
4 	 16000 	 127241907 	32015 	 127209892
5 	 16000 	 127130031 	16028 	 127114003
6 	 16000 	 128018367 	16831 	 128001536
1 	 32000 	 131857751 	1392292 	 130465459
2 	 32000 	 95924 	64000 	 31924
3 	 32000 	 1231193 	958464 	 272729
4 	 32000 	 510450228 	64025 	 510386203
5 	 32000 	 509906951 	32003 	 509874948
6 	 32000 	 512034999 	33049 	 512001950
1 	 64000 	 513378919 	672980 	 512705939
2 	 64000 	 191990 	128000 	 63990
3 	 64000 	 2623610 	2044928 	 578682
4 	 64000 	 2048160010 	128010 	 2048032000
5 	 64000 	 2048095999 	63999 	 2048032000
6 	 64000 	 2048064386 	64134 	 2048000252
