 # Algoritmo 	 n 	 total 	 trocas 	 comparações
1 	 250 	 69165 	 15132 	 54033
2 	 250 	 30508 	 15132 	 15376
3 	 250 	 5668 	 3988 	 1680
4 	 250 	 2649 	 676 	 1973
5 	 250 	 2815 	 866 	 1949
6 	 250 	 26561 	 1773 	 24788
1 	 500 	 295933 	 59906 	 236027
2 	 500 	 120303 	 59906 	 60397
3 	 500 	 12822 	 8976 	 3846
4 	 500 	 6593 	 1606 	 4987
5 	 500 	 6541 	 1975 	 4566
6 	 500 	 101475 	 4034 	 97441
1 	 1000 	 1197780 	 254724 	 943056
2 	 1000 	 510439 	 254724 	 255715
3 	 1000 	 28652 	 19952 	 8700
4 	 1000 	 14441 	 3671 	 10770
5 	 1000 	 14719 	 4374 	 10345
6 	 1000 	 392998 	 9047 	 383951
1 	 2000 	 4743470 	 1003341 	 3740129
2 	 2000 	 2008673 	 1003341 	 1005332
3 	 2000 	 63281 	 43904 	 19377
4 	 2000 	 31811 	 7866 	 23945
5 	 2000 	 35005 	 9311 	 25694
6 	 2000 	 1545088 	 20079 	 1525009
1 	 4000 	 19625721 	 4005627 	 15620094
2 	 4000 	 8015245 	 4005627 	 4009618
3 	 4000 	 138589 	 95808 	 42781
4 	 4000 	 74500 	 16401 	 58099
5 	 4000 	 81074 	 19625 	 61449
6 	 4000 	 6088138 	 44246 	 6043892
1 	 8000 	 78259897 	 15971684 	 62288213
2 	 8000 	 31951359 	 15971684 	 15979675
3 	 8000 	 301206 	 207616 	 93590
4 	 8000 	 183514 	 33027 	 150487
5 	 8000 	 191943 	 40349 	 151594
6 	 8000 	 24153397 	 96535 	 24056862
1 	 16000 	 315460242 	 64163949 	 251296293
2 	 16000 	 128343889 	 64163949 	 64179940
3 	 16000 	 650372 	 447232 	 203140
4 	 16000 	 491378 	 67222 	 424156
5 	 16000 	 510264 	 82409 	 427855
6 	 16000 	 96050045 	 209047 	 95840998
1 	 32000 	 1264289027 	 255968538 	 1008320489
2 	 32000 	 511969072 	 255968538 	 256000534
3 	 32000 	 1396936 	 958464 	 438472
4 	 32000 	 1509885 	 133475 	 1376410
5 	 32000 	 1561390 	 164521 	 1396869
6 	 32000 	 383895111 	 449851 	 383445260
