 # Algoritmo 	 n 	 total 	 trocas 	 comparações
1 	 250 	 249 	 0 	 249
2 	 250 	 249 	 0 	 249
3 	 250 	 4971 	 3988 	 983
4 	 250 	 31125 	 0 	 31125
5 	 250 	 13931 	 368 	 13563
6 	 250 	 28391 	 1928 	 26463
1 	 500 	 499 	 0 	 499
2 	 500 	 499 	 0 	 499
3 	 500 	 11192 	 8976 	 2216
4 	 500 	 124750 	 0 	 124750
5 	 500 	 38951 	 802 	 38149
6 	 500 	 104465 	 4354 	 100111
1 	 1000 	 999 	 0 	 999
2 	 1000 	 999 	 0 	 999
3 	 1000 	 24884 	 19952 	 4932
4 	 1000 	 499500 	 0 	 499500
5 	 1000 	 93867 	 1553 	 92314
6 	 1000 	 405460 	 9708 	 395752
1 	 2000 	 1999 	 0 	 1999
2 	 2000 	 1999 	 0 	 1999
3 	 2000 	 54768 	 43904 	 10864
4 	 2000 	 1999000 	 0 	 1999000
5 	 2000 	 320829 	 3206 	 317623
6 	 2000 	 1572762 	 21300 	 1551462
1 	 4000 	 3999 	 0 	 3999
2 	 4000 	 3999 	 0 	 3999
3 	 4000 	 119536 	 95808 	 23728
4 	 4000 	 7998000 	 0 	 7998000
5 	 4000 	 1049737 	 6520 	 1043217
6 	 4000 	 6433127 	 47142 	 6385985
1 	 8000 	 7999 	 0 	 7999
2 	 8000 	 7999 	 0 	 7999
3 	 8000 	 259072 	 207616 	 51456
4 	 8000 	 31996000 	 0 	 31996000
5 	 8000 	 2177708 	 12681 	 2165027
6 	 8000 	 24678983 	 102638 	 24576345
1 	 16000 	 15999 	 0 	 15999
2 	 16000 	 15999 	 0 	 15999
3 	 16000 	 558144 	 447232 	 110912
4 	 16000 	 127992000 	 0 	 127992000
5 	 16000 	 4576101 	 25110 	 4550991
6 	 16000 	 99749318 	 220380 	 99528938
1 	 32000 	 31999 	 0 	 31999
2 	 32000 	 31999 	 0 	 31999
3 	 32000 	 1196288 	 958464 	 237824
4 	 32000 	 511984000 	 0 	 511984000
5 	 32000 	 8707006 	 53641 	 8653365
6 	 32000 	 394250723 	 471524 	 393779199
