 # Algoritmo 	 n 	 total 	 trocas 	 comparações
1 	 250 	 48669 	 17295 	 31374
2 	 250 	 34834 	 17295 	 17539
3 	 250 	 5289 	 3988 	 1301
4 	 250 	 2655 	 751 	 1904
5 	 250 	 3084 	 958 	 2126
6 	 250 	 28391 	 1650 	 26741
1 	 500 	 190201 	 64952 	 125249
2 	 500 	 130400 	 64952 	 65448
3 	 500 	 12001 	 8976 	 3025
4 	 500 	 6962 	 1709 	 5253
5 	 500 	 7085 	 2030 	 5055
6 	 500 	 104916 	 3818 	 101098
1 	 1000 	 692655 	 192156 	 500499
2 	 1000 	 385306 	 192156 	 193150
3 	 1000 	 27027 	 19952 	 7075
4 	 1000 	 16365 	 3402 	 12963
5 	 1000 	 15795 	 4137 	 11658
6 	 1000 	 410764 	 8677 	 402087
1 	 2000 	 2506081 	 505082 	 2000999
2 	 2000 	 1012158 	 505082 	 507076
3 	 2000 	 59073 	 43904 	 15169
4 	 2000 	 155189 	 5496 	 149693
5 	 2000 	 43350 	 7241 	 36109
6 	 2000 	 1592702 	 20168 	 1572534
1 	 4000 	 9515685 	 1513686 	 8001999
2 	 4000 	 3031366 	 1513686 	 1517680
3 	 4000 	 128592 	 95808 	 32784
4 	 4000 	 1194417 	 9419 	 1184998
5 	 4000 	 152724 	 13721 	 139003
6 	 4000 	 6238649 	 45303 	 6193346
1 	 8000 	 36964370 	 5000366 	 31964004
2 	 8000 	 10008726 	 5000366 	 5008360
3 	 8000 	 278643 	 207616 	 71027
4 	 8000 	 6262925 	 17853 	 6245072
5 	 8000 	 330180 	 27334 	 302846
6 	 8000 	 24688671 	 99337 	 24589334
1 	 16000 	 145684867 	 17836858 	 127848009
2 	 16000 	 35689710 	 17836858 	 17852852
3 	 16000 	 600819 	 447232 	 153587
4 	 16000 	 28460142 	 34734 	 28425408
5 	 16000 	 1286128 	 53250 	 1232878
6 	 16000 	 98312307 	 215565 	 98096742
1 	 32000 	 579015100 	 67575083 	 511440017
2 	 32000 	 135182155 	 67575083 	 67607072
3 	 32000 	 1289019 	 958464 	 330555
4 	 32000 	 121258319 	 66651 	 121191668
5 	 32000 	 4420145 	 106852 	 4313293
6 	 32000 	 392435701 	 464329 	 391971372
